Afghanistan,Afghani,AFN
Albania,Lek,ALL
Algeria,Algerian Dinar,DZD
American Samoa,US Dollar,USD
Andorra,Euro,EUR
Angola,Kwanza,AOA
Anguilla,East Caribbean Dollar,XCD
Antigua And Barbuda,East Caribbean Dollar,XCD
Argentina,Argentine Peso,ARS
Armenia,Armenian Dram,AMD
Aruba,Aruban Florin,AWG
Australia,Australian Dollar,AUD
Austria,Euro,EUR
Azerbaijan,Azerbaijanian Manat,AZN
Bahamas,Bahamian Dollar,BSD
Bahrain,Bahraini Dinar,BHD
Bangladesh,Taka,BDT
Barbados,Barbados Dollar,BBD
Belarus,Belarussian Ruble,BYN
Belgium,Euro,EUR
Belize,Belize Dollar,BZD
Benin,CFA Franc BCEAO,XOF
Bermuda,Bermudian Dollar,BMD
Bhutan,Ngultrum,BTN
Bolivia,Boliviano,BOB
Bolivia (Plurinational State Of),Mvdol,BOV
"Bonaire, Sint Eustatius And Saba",US Dollar,USD
Bosnia And Herzegovina,Convertible Mark,BAM
Botswana,Pula,BWP
Bouvet Island,Norwegian Krone,NOK
Brazil,Brazilian Real,BRL
British Indian Ocean Territory (The),US Dollar,USD
Brunei Darussalam,Brunei Dollar,BND
Bulgaria,Bulgarian Lev,BGN
Burkina Faso,CFA Franc BCEAO,XOF
Burundi,Burundi Franc,BIF
Cape Verde,Cape Verde Escudo,CVE
Cambodia,Riel,KHR
Cameroon,CFA Franc BEAC,XAF
Canada,Canadian Dollar,CAD
Cayman Islands,Cayman Islands Dollar,KYD
Central African Republic (The),CFA Franc BEAC,XAF
Chad,CFA Franc BEAC,XAF
Chile,Chilean Peso,CLP
China,Yuan Renminbi,CNY
Christmas Island,Australian Dollar,AUD
Cocos (Keeling) Islands (The),Australian Dollar,AUD
Colombia,Colombian Peso,COP
Comoros (The),Comoro Franc,KMF
Congo (The Democratic Republic Of The),Congolese Franc,CDF
Congo (The),CFA Franc BEAC,XAF
Cook Islands (The),New Zealand Dollar,NZD
Costa Rica,Costa Rican Colon,CRC
Croatia,Kuna,HRK
Cuba,Cuban Peso,CUP
Curaçao,Netherlands Antillean guilder,ANG
Cyprus,Euro,EUR
Czech Republic (The),Czech Koruna,CZK
Côte D'Ivoire,CFA Franc BCEAO,XOF
Denmark,Danish Krone,DKK
Djibouti,Djibouti Franc,DJF
Dominica,East Caribbean Dollar,XCD
Dominican Republic,Dominican Peso,DOP
Ecuador,US Dollar,USD
Egypt,Egyptian Pound,EGP
El Salvador,US Dollar,USD
Equatorial Guinea,CFA Franc BEAC,XAF
Eritrea,Nakfa,ERN
Estonia,Euro,EUR
Ethiopia,Ethiopian Birr,ETB
